一  yī
紊	wèn
素	sù
索	suǒ
纯	chún
纽	niǔ
纰	pī
级	jí
纭	yún
纳	nà
纸	zhǐ
纷	fēn
缺	quē
罟	gǔ
羔	gāo
翅	chì
翁	wēng
耆	qí
耘	yún
耕	gēng
耙	bà
耗	hào
耽	dān
耿	gěng
胱	guāng
脂	zhī
胰	yí
胁	xié
胭	yān
胴	dòng
脆	cuì
胸	xiōng
胳	gē
脉	mài
能	néng
脊	jí
胼	pián
胯	kuà
臭	chòu
臬	niè
舀	yǎo
舐	shì
航	háng
舫	fǎng
舨	bǎn
般	bān
刍	chú
茫	máng
荒	huāng
荔	lì
荆	jīng
茸	róng
荐	jiàn
草	cǎo
茵	yīn
茴	huí
荏	rěn
兹	zī
茹	rú
茶	chá
茗	míng
荀	xún
茱	zhū
茨	cí
荃	quán
虔	qián
蚊	wén
蚪	dǒu
蚓	yǐn
蚤	zǎo
蚩	chī
蚌	bàng
蚣	gōng
蚜	yá
衰	shuāi
衷	zhōng
袁	yuán
袂	mèi
衽	rèn
只	qí
记	jì
讦	jié
讨	tǎo
讧	hòng
讪	shàn
讯	xùn
托	tuō
训	xùn
讫	qì
吁	xū
訑	yí
岂	qǐ
豺	chái
豹	bào
财	cái
贡	gòng
起	qǐ
躬	gōng
轩	xuān
轫	rèn
軏	yuè
辱	rǔ
送	sòng
逆	nì
迷	mí
退	tuì
乃	nǎi
回	huí
逃	táo
追	zhuī
逅	hòu
迸	bèng
邕	yōng
郡	jùn
郝	hǎo
郢	yǐng
酒	jiǔ
配	pèi
酌	zhuó
钉	dīng
针	zhēn
钊	zhāo
釜	fǔ
钋	pō
闪	shǎn
院	yuàn
阵	zhèn
陡	dǒu
陛	bì
陕	xiá
除	chú
陉	xíng
升	shēng
只	zhī
饥	jī
马	mǎ
骨	gú
高	gāo
斗	dòu
鬲	gé
鬼	guǐ
乾	gān
咱	zá
伪	wèi
停	tíng
假	jiǎ
偃	yǎn
偌	ruò
做	zuò
伟	wěi
健	jiàn
偶	ǒu
偎	wēi
偕	xié
侦	zhēn
侧	cè
偷	tōu
偏	piān
倏	shù
哀	yǐ
面	miǎn
兜	dōu
冕	miǎn
凰	huáng
剪	jiǎn
副	fù
勒	lè
务	wù
勘	kān
动	dòng
匐	fú
匏	páo
匙	chí
匿	nì
区	qū
匾	biǎn
参	cān
曼	màn
商	shāng
啪	pāi
啦	la
啄	zhuó
哑	yǎ
啡	fēi
啃	kěn
啊	a
唱	chàng
啖	dàn
问	wèn
啕	táo
唯	wéi
啤	pí
念	niàn
售	shòu
啜	chuò
唬	hǔ
衔	xián
唳	lì
啁	zhōu
啖	dàn
圈	quān
国	guó
圉	yǔ
域	yù
坚	jiān
垩	è
堆	duī
埠	bù
埤	pí
基	jī
堂	táng
堵	dǔ
执	zhí
培	péi
够	gòu
奢	shē
娶	qǔ
娄	lǚ
婉	wǎn
妇	fù
婪	lán
婀	ē
娼	chāng
婢	bì
婚	hūn
婆	pó
婊	biǎo
孰	shú
寇	kòu
寅	yín
寄	jì
寂	jì
宿	sù
密	mì
尉	wèi
专	zhuān
将	jiāng
屠	tú
屉	tì
扉	fèi
崇	chóng
崆	kōng
崎	qí
崛	jué
崖	yá
峥	zhēng
昆	kūn
崩	bēng
崔	cuī
仑	lún
崤	yáo
崧	sōng
岗	gāng
巢	cháo
常	cháng
带	dài
帐	zhàng
帷	wéi
康	kāng
庸	yōng
庶	shù
庵	ān
庾	yǔ
张	zhāng
强	qiáng
彗	huì
彬	bīn
彩	cǎi
雕	diāo
得	de
徙	xǐ
从	cóng
徘	pái
御	yù
徕	lái
徜	cháng
恿	yǒng
患	huàn
悉	xī
悠	yōu
您	nín
惋	wàn
悴	cuì
惦	diàn
凄	qī
情	qíng
悻	xìng
怅	chàng
惜	xí
悼	dào
惘	wǎng
惕	tì
惆	chóu
惟	wéi
悸	jì
惚	hū
敦	dūn
戚	qī
戛	jiá
扈	hù
掠	luè
控	kòng
卷	juǎn
掖	yì
探	tàn
接	jiē
捷	jié
捧	pěng
掘	jué
措	cuò
捱	ái
掩	yǎn
